amfi_code,alpha,beta
100016,-0.0897,0.7884
100025,0.0332,0.0607
100033,0.1144,0.9916
101206,0.0974,0.737
101207,-0.3507,2.8782
101208,0.061,-0.001
102885,0.0719,0.6163
102886,-0.1157,0.9014
102887,0.0245,0.8683
118632,0.0571,1.012
118633,0.0442,0.6985
118634,-0.1783,2.242
118635,0.0518,0.6258
118636,0.035,0.0996
119092,-0.115,1.159
119093,-0.0781,1.0139
119094,0.0169,1.5209
119095,-0.3056,2.2108
119120,0.0425,0.0849
119551,0.1415,0.5629
119552,0.062,0.8546
119598,-0.0881,2.4574
119599,-0.2736,2.0397
120503,0.0287,0.9248
120504,0.116,0.6065
120505,0.1026,1.1948
120506,0.0185,0.9141
120507,0.0684,-0.0057
120841,0.021,0.6952
120842,-0.0925,1.0757
120843,0.1026,1.0687
120844,0.0662,-0.0107
125497,0.0337,0.9123
125498,-0.0985,1.3751
148567,0.182,0.5571
148568,0.079,0.8104
148569,0.0965,1.1746
149322,-0.0193,0.9487
149323,0.0877,1.1205
149324,-0.0513,2.2148
