amfi_code,cagr_percent,sharpe_ratio,alpha,max_drawdown_pct,cagr_rank,sharpe_rank,alpha_rank,drawdown_rank,fund_score
120505,32.8,1.18,0.1026,-18.19,1.0,0.9,0.8875,0.625,85.88
148569,31.92,1.235,0.0965,-16.4,0.925,0.95,0.825,0.525,81.12
100033,30.1,1.094,0.1144,-16.22,0.85,0.85,0.925,0.5,77.75
148567,30.95,1.448,0.182,-11.27,0.9,1.0,1.0,0.2,77.0
120843,30.88,1.307,0.1026,-12.97,0.875,0.975,0.8875,0.325,76.5
119551,25.78,1.208,0.1415,-15.01,0.775,0.925,0.975,0.425,76.5
149323,29.56,1.132,0.0877,-17.25,0.825,0.875,0.8,0.55,76.38
149324,32.26,0.95,-0.0513,-31.17,0.95,0.7,0.3,0.925,75.12
119598,32.4,0.945,-0.0881,-28.71,0.975,0.675,0.25,0.9,73.62
118632,24.03,1.082,0.0571,-17.41,0.75,0.825,0.625,0.575,70.0
119094,28.19,0.998,0.0169,-20.96,0.8,0.75,0.35,0.7,67.25
120504,23.28,1.027,0.116,-12.59,0.7,0.7875,0.95,0.3,67.19
101206,23.52,1.027,0.0974,-11.29,0.725,0.7875,0.85,0.225,64.06
148568,22.5,0.926,0.079,-15.27,0.675,0.65,0.775,0.475,63.88
119552,21.51,0.953,0.062,-11.8,0.65,0.725,0.675,0.275,58.0
102887,16.83,0.62,0.0245,-21.54,0.525,0.475,0.425,0.75,54.88
118633,16.26,0.645,0.0442,-18.63,0.475,0.5,0.575,0.65,54.5
125497,19.0,0.776,0.0337,-15.2,0.625,0.575,0.5,0.45,54.38
120506,17.07,0.649,0.0185,-19.83,0.55,0.525,0.375,0.675,54.0
102885,18.22,0.817,0.0719,-10.86,0.575,0.625,0.75,0.175,52.25
120503,18.77,0.798,0.0287,-13.9,0.6,0.6,0.45,0.35,50.75
120841,13.52,0.494,0.021,-17.57,0.425,0.425,0.4,0.6,46.38
118634,16.36,0.448,-0.1783,-23.34,0.5,0.375,0.1,0.8,46.38
118635,15.95,0.665,0.0518,-11.65,0.45,0.55,0.6,0.25,45.5
101207,7.93,0.163,-0.3507,-35.45,0.35,0.325,0.025,0.95,42.88
119093,7.89,0.13,-0.0781,-21.75,0.325,0.3,0.275,0.775,42.12
125498,11.29,0.301,-0.0985,-21.12,0.375,0.35,0.175,0.725,41.62
120842,6.7,0.076,-0.0925,-24.0,0.25,0.275,0.2,0.825,39.0
149322,13.38,0.464,-0.0193,-14.84,0.4,0.4,0.325,0.4,38.5
120507,7.23,0.496,0.0684,-0.1,0.3,0.45,0.725,0.025,35.38
119599,2.05,-0.057,-0.2736,-52.57,0.075,0.225,0.075,1.0,34.38
100016,2.64,-0.202,-0.0897,-24.73,0.1,0.15,0.225,0.85,32.5
119095,1.52,-0.076,-0.3056,-51.68,0.05,0.2,0.05,0.975,31.88
102886,1.17,-0.206,-0.1157,-28.0,0.025,0.125,0.125,0.875,28.25
120844,6.91,-0.089,0.0662,-0.12,0.275,0.175,0.7,0.05,27.88
119092,6.36,0.031,-0.115,-14.4,0.2,0.25,0.15,0.375,24.62
101208,6.5,-0.816,0.061,-0.16,0.225,0.025,0.65,0.075,22.25
119120,5.89,-0.227,0.0425,-4.33,0.175,0.1,0.55,0.125,21.88
118636,5.31,-0.357,0.035,-8.32,0.15,0.075,0.525,0.15,20.62
100025,4.46,-0.567,0.0332,-4.31,0.125,0.05,0.475,0.1,17.0
