investor_id,avg_gap_days,at_risk
INV000001,38.0,True
INV000002,82.8,True
INV000003,238.0,True
INV000004,53.38,True
INV000005,52.0,True
INV000006,99.0,True
INV000007,104.5,True
INV000008,50.29,True
INV000009,80.83,True
INV000010,32.8,False
INV000011,45.2,True
INV000012,41.4,True
INV000013,36.89,True
INV000014,47.1,True
INV000015,127.0,True
INV000016,87.5,True
INV000017,131.33,True
INV000018,110.33,True
INV000019,136.67,True
INV000020,57.8,True
INV000021,75.4,True
INV000022,95.8,True
INV000023,45.56,True
INV000024,43.29,True
INV000025,0.0,False
INV000026,72.33,True
INV000027,58.5,True
INV000028,58.5,True
INV000029,36.4,True
INV000030,38.27,True
INV000031,85.0,True
INV000032,67.71,True
INV000033,46.2,True
INV000034,52.0,True
INV000035,144.0,True
INV000036,99.0,True
INV000037,62.5,True
INV000038,64.17,True
INV000039,52.86,True
INV000040,51.56,True
INV000041,68.6,True
INV000042,17.0,False
INV000043,181.0,True
INV000044,89.0,True
INV000045,39.22,True
INV000046,72.0,True
INV000047,60.5,True
INV000048,36.8,True
INV000049,247.5,True
INV000050,71.5,True
INV000051,63.2,True
INV000052,46.0,True
INV000053,7.0,False
INV000054,56.0,True
INV000055,36.36,True
INV000056,66.86,True
INV000057,34.8,False
INV000058,56.83,True
INV000059,0.0,False
INV000060,90.0,True
INV000061,67.25,True
INV000062,66.29,True
INV000063,218.0,True
INV000064,0.0,False
INV000065,91.8,True
INV000066,40.83,True
INV000067,0.0,False
INV000068,0.0,False
INV000069,40.18,True
INV000070,113.67,True
INV000071,14.33,False
INV000072,46.67,True
INV000073,45.67,True
INV000074,50.8,True
INV000075,62.33,True
INV000076,58.38,True
INV000077,87.0,True
INV000078,153.0,True
INV000079,56.12,True
INV000080,60.75,True
INV000081,48.8,True
INV000082,62.75,True
INV000083,180.0,True
INV000084,76.5,True
INV000085,52.14,True
INV000086,36.55,True
INV000087,51.56,True
INV000088,23.33,False
INV000089,49.1,True
INV000090,48.5,True
INV000091,45.64,True
INV000092,89.25,True
INV000093,49.33,True
INV000094,44.8,True
INV000095,52.38,True
INV000096,2.0,False
INV000097,45.7,True
INV000098,66.83,True
INV000099,52.43,True
INV000100,61.43,True
INV000101,42.18,True
INV000102,45.7,True
INV000103,63.86,True
INV000104,45.0,True
INV000105,44.33,True
INV000106,63.0,True
INV000107,50.0,True
INV000108,45.62,True
INV000109,41.11,True
INV000110,122.0,True
INV000111,205.0,True
INV000112,80.33,True
INV000113,55.62,True
INV000114,47.33,True
INV000115,94.0,True
INV000116,78.75,True
INV000117,54.86,True
INV000118,50.6,True
